id_policy,year,pol_no_claims_discount,pol_duration,pol_pay_freq,pol_payd,pol_usage,drv_sex1,drv_age1,drv_age_lic1,drv_drv2,vh_age,vh_fuel,vh_type,vh_speed,vh_value,vh_weight,population,town_surface_area,claim_amount
PL052175,1,0,5,Monthly,No,WorkPrivate,F,37,15,No,5,Diesel,Tourism,200,19225,1310,330,314.1,168.68
PL005587,1,0,12,Biannual,No,WorkPrivate,F,57,34,Yes,3,Diesel,Tourism,202,22411,1330,780,745.4,211.35
PL045283,1,0.483,17,Biannual,No,WorkPrivate,F,47,13,No,10,Gasoline,Tourism,182,12820,1036,50,303.2,331.27
PL006818,3,0,30,Yearly,No,Professional,F,57,38,No,19,Gasoline,Tourism,118,10047,1210,2550,57.9,180.42
PL013873,2,0,26,Biannual,No,WorkPrivate,F,47,28,Yes,17,Gasoline,Tourism,198,20002,1320,1890,630.8,220.96
PL067636,3,0,18,Biannual,No,WorkPrivate,M,45,26,Yes,24,Diesel,Tourism,164,14696,936,70,90.2,56.19
PL010700,1,0,22,Biannual,No,WorkPrivate,F,54,34,Yes,6,Gasoline,Tourism,140,1113,393,440,26,288.44
PL082273,2,0.381,6,Monthly,No,WorkPrivate,F,24,6,No,2,Gasoline,Tourism,160,2088,0,140,69.1,56.19
PL050866,1,0,7,Biannual,No,Retired,F,64,31,No,2,Gasoline,Tourism,155,9554,560,300,54.2,179.4
PL030364,1,0.053,3,Monthly,No,WorkPrivate,F,39,4,Yes,4,Gasoline,Tourism,155,9554,560,270,96.7,110.98
PL094389,2,0,16,Monthly,No,WorkPrivate,F,42,24,No,5,Diesel,Tourism,200,19422,1315,410,174.2,139.99
PL065889,2,0,12,Biannual,No,Retired,M,68,43,No,13,Diesel,Tourism,197,27313,1437,250,282,338.23
PL085287,2,0,3,Biannual,No,WorkPrivate,M,53,35,Yes,12,Gasoline,Tourism,182,12820,1036,290,131.1,128
PL042007,1,0,4,Quarterly,No,WorkPrivate,F,50,30,No,5,Diesel,Tourism,200,19422,1315,60,61.9,60.29
PL067297,1,0,13,Biannual,No,Retired,F,69,41,No,9,Gasoline,Tourism,158,13390,885,780,745.4,113.81
PL068593,3,0.28,12,Monthly,No,WorkPrivate,F,49,26,No,14,Gasoline,Tourism,140,1113,393,440,45.3,212.89
PL049675,1,0,27,Biannual,No,Retired,M,76,56,Yes,2,Diesel,Tourism,200,19225,1310,2550,332,92
PL043149,3,0,10,Yearly,No,Retired,M,74,52,No,13,Diesel,Commercial,150,14159,1193,2020,307.8,239.2
PL088590,3,0,20,Yearly,No,Retired,M,66,48,Yes,4,Diesel,Tourism,202,22411,1330,60,29.7,86.54
PL013499,1,0.332,1,Yearly,No,WorkPrivate,F,43,24,No,11,Gasoline,Tourism,141,8452,1125,280,284.2,336.34
PL046730,2,0,21,Yearly,No,WorkPrivate,M,59,41,No,11,Gasoline,Tourism,158,13390,885,300,82.5,114.72
PL052426,1,0,24,Yearly,No,Retired,F,77,49,No,2,Gasoline,Tourism,140,1113,393,270,354.2,271.52
PL067499,1,0,10,Yearly,No,Retired,F,76,47,No,10,Gasoline,Tourism,145,10896,660,790,163,231.1
PL004640,1,0.07,14,Yearly,No,WorkPrivate,M,38,15,No,1,Diesel,Tourism,202,22411,1330,2550,92.5,173.43
PL082756,2,0,9,Monthly,No,WorkPrivate,F,56,29,No,5,Diesel,Tourism,200,22067,1291,2550,312.4,190.16
PL003876,1,0,15,Yearly,No,Retired,M,84,63,No,14,Gasoline,Tourism,173,13952,1112,850,67.2,262.73
PL052713,2,0,28,Yearly,No,Retired,M,66,44,No,11,Diesel,Tourism,200,31069,1473,100,130.2,251.23
PL053548,3,0,31,Biannual,Yes,WorkPrivate,F,55,36,Yes,6,Diesel,Tourism,179,16047,955,170,535.2,71.76
PL051388,1,0,5,Biannual,No,WorkPrivate,M,55,36,Yes,4,Diesel,Tourism,196,24750,1200,120,138.1,101.59
PL061958,2,0,15,Monthly,No,WorkPrivate,M,46,27,No,4,Diesel,Tourism,173,21316,1209,70,88.3,232.27
PL041864,1,0,2,Monthly,No,WorkPrivate,F,38,20,Yes,7,Diesel,Tourism,185,26094,1460,230,153.6,254.33
PL023140,3,0,10,Monthly,No,WorkPrivate,F,55,37,No,8,Diesel,Tourism,110,24392,0,40,201.9,69
PL078306,2,0,23,Quarterly,No,WorkPrivate,M,52,33,Yes,7,Diesel,Tourism,170,13473,980,700,174.9,230.55
PL059858,2,0.07,5,Yearly,No,Professional,M,55,29,Yes,9,Diesel,Commercial,150,16335,1280,2550,71,176.82
PL024510,2,0,8,Monthly,No,Retired,F,64,45,Yes,2,Diesel,Tourism,176,26036,1611,230,424.9,295.61
PL038497,1,0.018,6,Yearly,No,WorkPrivate,F,33,14,Yes,1,Diesel,Tourism,149,17233,1012,320,66,310.79
PL081387,3,0.087,14,Biannual,No,WorkPrivate,M,56,37,Yes,5,Diesel,Tourism,182,12820,1036,80,34.6,186.09
PL068116,3,0.405,4,Monthly,Yes,WorkPrivate,F,53,29,No,7,Gasoline,Tourism,140,1113,393,660,166,190.5
PL049832,3,0,17,Yearly,No,WorkPrivate,F,40,21,No,17,Gasoline,Tourism,155,1219,1050,60,379.9,199.58
PL062107,3,0.018,7,Biannual,No,WorkPrivate,F,33,13,No,7,Diesel,Tourism,175,23900,1285,2550,42.7,104.05
PL014303,2,0.07,3,Monthly,No,Retired,M,56,33,No,16,Diesel,Tourism,228,87850,1540,20,90.8,98.07
PL000990,2,0,2,Yearly,No,Retired,F,66,32,No,10,Gasoline,Tourism,182,12820,1036,1530,36,93.44
PL008980,1,0.28,14,Yearly,Yes,Retired,F,75,47,No,11,Gasoline,Tourism,177,11490,950,310,745.4,329.53
PL032510,3,0,22,Yearly,No,Retired,F,87,69,Yes,3,Diesel,Tourism,202,22411,1330,400,89.5,232.65
PL057807,1,0,10,Biannual,No,WorkPrivate,M,53,35,No,6,Diesel,Tourism,171,31154,1796,20,44.2,60.29
PL066971,1,0,1,Monthly,No,WorkPrivate,M,54,35,No,4,Diesel,Tourism,238,29271,1444,330,49.7,99.28
PL032013,2,0,4,Yearly,No,WorkPrivate,F,49,29,No,8,Gasoline,Tourism,181,21171,1305,320,87.1,155.13
PL078501,2,0.087,4,Monthly,No,WorkPrivate,F,43,25,No,7,Diesel,Tourism,177,11490,950,2550,745.4,107.39
PL087269,3,0,10,Yearly,No,WorkPrivate,F,39,21,No,7,Diesel,Tourism,182,12820,1036,530,99,219.22
PL054940,1,0,5,Yearly,No,WorkPrivate,M,50,31,Yes,17,Diesel,Tourism,170,31206,1430,520,67.2,288.11
PL084714,1,0,8,Monthly,No,WorkPrivate,F,40,21,No,21,Gasoline,Tourism,183,30622,1459,540,131.8,148.84
PL089698,3,0,7,Monthly,No,WorkPrivate,F,36,18,No,8,Diesel,Tourism,194,19474,1530,110,137.8,91.3
PL054934,2,0,5,Biannual,No,WorkPrivate,F,47,26,No,3,Diesel,Tourism,170,11355,1080,2550,321.4,117.96
PL028035,1,0.631,6,Yearly,No,WorkPrivate,F,71,47,Yes,6,Diesel,Tourism,150,16335,1280,320,48.6,130.74
PL057841,1,0,26,Biannual,No,WorkPrivate,F,55,36,No,2,Diesel,Tourism,202,27590,1539,340,198.2,317.9
PL046778,1,0,1,Monthly,No,WorkPrivate,F,40,19,No,7,Diesel,Tourism,170,11405,1197,270,354.2,158.71
PL023058,1,0,32,Yearly,No,WorkPrivate,F,63,45,No,6,Gasoline,Tourism,182,12820,1036,380,320.9,56.19
PL028899,3,0,33,Biannual,No,Retired,F,77,45,No,21,Gasoline,Tourism,159,9818,809,1020,359.4,103.53
PL002929,1,0,13,Yearly,No,Retired,F,81,54,Yes,7,Gasoline,Tourism,177,16674,1106,170,49.3,289.67
PL047983,1,0,5,Biannual,No,WorkPrivate,F,57,9,No,3,Gasoline,Tourism,143,5225,1046,1670,262,120.06
PL045605,3,0,6,Yearly,No,Retired,F,66,42,No,6,Diesel,Tourism,200,25000,1300,550,745.4,213.76
PL066879,1,0,8,Yearly,No,Retired,M,65,46,No,12,Diesel,Commercial,150,14159,1193,590,254.5,106.14
PL030516,1,0,8,Yearly,No,WorkPrivate,M,65,42,No,9,Gasoline,Tourism,200,19422,1315,430,454.1,140.46
PL081593,3,0,4,Yearly,No,WorkPrivate,F,38,20,No,11,Diesel,Tourism,182,12820,1036,40,66.9,327.36
PL045538,3,0,21,Monthly,No,Retired,M,74,50,No,9,Diesel,Tourism,202,22578,1284,830,352.7,102.37
PL036115,1,0,22,Monthly,No,WorkPrivate,F,53,34,Yes,2,Diesel,Tourism,173,21316,1209,20,55.2,79
PL064589,2,0,7,Monthly,No,WorkPrivate,F,58,30,No,4,Gasoline,Tourism,182,12820,1036,390,431.9,227.26
PL019377,1,0,2,Monthly,No,WorkPrivate,F,44,22,No,9,Diesel,Tourism,182,12820,1036,300,450.3,317.92
PL028402,3,0,10,Yearly,No,WorkPrivate,M,55,36,Yes,5,Diesel,Tourism,149,17233,1012,790,117.1,84.49
PL051449,1,0,3,Biannual,No,WorkPrivate,M,45,26,No,16,Gasoline,Tourism,175,23900,1285,280,463.7,216.25
PL063738,3,0,18,Biannual,No,Retired,M,58,37,Yes,8,Diesel,Tourism,200,20054,1360,250,291.9,53.82
PL094467,1,0,10,Yearly,No,WorkPrivate,F,42,21,No,2,Diesel,Tourism,168,18310,1538,2550,318.2,101.59
PL034229,1,0.428,5,Yearly,No,WorkPrivate,M,22,2,No,6,Diesel,Tourism,170,13473,980,360,26.4,342.55
PL038974,2,0,3,Yearly,No,WorkPrivate,F,40,17,No,4,Diesel,Tourism,158,13390,885,130,46.5,328.93
PL078400,2,0,25,Biannual,No,WorkPrivate,F,47,27,Yes,11,Gasoline,Tourism,198,20002,1320,710,132.8,179.8
PL043098,1,0,1,Monthly,No,WorkPrivate,M,57,12,Yes,11,Diesel,Tourism,170,31206,1430,360,78.4,131.29
PL018269,3,0,5,Yearly,No,WorkPrivate,F,55,33,No,5,Diesel,Tourism,182,12820,1036,280,745.4,143.97
PL008115,2,0.439,2,Yearly,No,WorkPrivate,F,30,6,No,6,Diesel,Tourism,170,13473,980,530,58.3,113.2
PL004613,1,0.07,1,Biannual,No,WorkPrivate,F,49,20,Yes,2,Diesel,Tourism,147,5622,1035,20,80.3,203.24
PL048567,3,0.135,4,Yearly,No,WorkPrivate,F,45,20,No,7,Diesel,Tourism,138,17126,1110,250,46,180.42
PL035237,2,0,12,Yearly,No,WorkPrivate,F,44,26,Yes,2,Diesel,Tourism,139,11985,1264,230,203.1,56.19
PL066936,3,0.515,10,Monthly,No,WorkPrivate,M,42,24,No,3,Diesel,Tourism,184,35168,1388,170,32.9,169.13
PL092914,3,0,12,Biannual,No,Professional,M,54,35,No,12,Diesel,Commercial,95,26858,0,60,187.2,271.32
PL033579,2,0.701,21,Biannual,No,Retired,F,79,40,No,3,Diesel,Tourism,173,21316,1209,350,58.4,138.03
PL022706,1,0,4,Biannual,No,WorkPrivate,M,78,59,No,7,Gasoline,Tourism,160,17055,911,1160,631.1,113.65
PL018066,1,0,24,Monthly,Yes,WorkPrivate,M,48,29,Yes,1,Gasoline,Tourism,182,12820,1036,250,97.6,81.42
PL060476,3,0,8,Monthly,No,WorkPrivate,F,56,38,Yes,5,Gasoline,Tourism,140,1113,870,2550,301.4,106.19
PL087159,3,0,3,Monthly,No,WorkPrivate,M,54,35,No,8,Diesel,Tourism,184,22997,1262,240,87.1,79.32
PL050683,1,0.07,6,Biannual,No,WorkPrivate,F,46,14,No,10,Gasoline,Tourism,194,15225,913,240,19.9,104.55
PL023860,3,0,6,Yearly,No,Retired,M,72,50,Yes,6,Diesel,Tourism,139,11985,1264,760,39.5,79.32
PL026397,2,0,3,Yearly,No,WorkPrivate,M,37,18,Yes,7,Diesel,Tourism,175,23900,1285,180,88.8,114.4
PL088944,3,0,23,Yearly,No,WorkPrivate,M,48,30,No,8,Diesel,Tourism,182,16876,1302,240,282.5,102.37
PL061646,3,0,3,Biannual,No,WorkPrivate,F,42,22,Yes,3,Gasoline,Tourism,160,2088,0,2550,249.7,139.75
PL060780,1,0.181,8,Biannual,No,WorkPrivate,M,30,11,No,10,Gasoline,Tourism,188,21338,1305,320,505.6,95
PL076693,1,0,13,Yearly,No,WorkPrivate,M,62,43,No,7,Diesel,Tourism,182,12820,1036,700,340.2,106.14
PL058330,2,0,16,Yearly,No,WorkPrivate,F,46,23,Yes,13,Gasoline,Tourism,251,26466,1400,240,51.8,182.19
PL002494,2,0,6,Biannual,No,Retired,M,58,40,No,5,Gasoline,Tourism,200,31511,1576,300,80.9,145.54
PL014969,1,0,3,Yearly,No,Retired,M,81,51,No,11,Diesel,Tourism,176,23319,1008,1810,374.8,159.76
PL077173,2,0,25,Monthly,No,WorkPrivate,M,52,32,No,7,Diesel,Commercial,182,12820,1036,770,153,122.34
PL025483,3,0,15,Yearly,No,WorkPrivate,M,47,29,Yes,8,Diesel,Tourism,175,23900,1285,620,471.2,102.37
PL047305,3,0,3,Monthly,No,WorkPrivate,M,47,28,Yes,13,Gasoline,Tourism,182,12820,1036,380,167.9,250.39
PL081257,3,0,19,Yearly,No,Retired,M,72,50,Yes,4,Diesel,Tourism,182,12820,1036,740,415.5,186.96
PL004828,2,0.332,31,Quarterly,No,Retired,F,67,36,No,5,Diesel,Tourism,174,11203,1133,270,543.8,96.94
PL094071,1,0.166,5,Monthly,No,WorkPrivate,F,33,8,Yes,2,Diesel,Tourism,185,26094,1460,1440,137.8,103.59
PL041437,3,0,4,Biannual,No,Retired,M,63,44,No,3,Diesel,Tourism,238,29271,1444,310,273.4,97.56
PL057479,3,0,6,Monthly,No,Retired,F,72,48,Yes,6,Diesel,Tourism,158,13390,885,160,62.7,102.37
PL070160,3,0,3,Yearly,No,Retired,F,67,31,No,9,Diesel,Tourism,174,13904,1260,970,18.5,175.95
PL079510,3,0,6,Biannual,No,Retired,F,71,52,Yes,4,Gasoline,Tourism,149,17233,1012,270,85.9,74.58
PL014535,1,0,1,Yearly,No,Professional,M,47,28,Yes,2,Gasoline,Tourism,187,20666,1016,220,368.5,56.19
PL057344,1,0,7,Monthly,No,Retired,F,80,34,No,1,Gasoline,Tourism,158,13390,885,350,45.2,66.54
PL086327,2,0.018,14,Yearly,No,Retired,F,65,35,No,5,Gasoline,Tourism,200,22067,1291,270,543.8,62.21
PL005066,2,0,2,Yearly,No,WorkPrivate,M,45,26,No,2,Diesel,Tourism,200,21998,1230,1030,95.3,296.96
PL033577,3,0,10,Yearly,No,WorkPrivate,F,57,35,Yes,5,Diesel,Tourism,139,11985,1264,270,59.2,226.67
PL035725,3,0,9,Biannual,No,Retired,F,70,46,No,4,Gasoline,Tourism,158,11228,992,390,375.2,186.96
PL077644,3,0.166,3,Monthly,No,WorkPrivate,M,35,15,Yes,14,Diesel,Tourism,182,12820,1036,230,186.2,62.21
PL065534,2,0,3,Quarterly,No,WorkPrivate,M,27,9,No,3,Diesel,Tourism,197,27313,1437,1780,158.4,166.91
PL037232,3,0.196,22,Monthly,No,Retired,F,75,54,Yes,6,Diesel,Tourism,175,23900,1285,1310,78,320.45
PL012982,2,0,8,Biannual,No,Retired,M,56,38,Yes,10,Diesel,Commercial,150,14159,1193,730,745.4,254.62
PL072829,1,0.053,27,Monthly,No,Professional,M,55,30,Yes,7,Diesel,Commercial,105,23520,0,390,33.4,188.56
PL082991,3,0.103,13,Monthly,No,WorkPrivate,M,40,21,Yes,5,Gasoline,Tourism,194,22235,1569,470,110.5,102.37
PL086126,2,0,16,Monthly,No,WorkPrivate,M,45,27,No,3,Diesel,Tourism,175,23900,1285,170,68.9,141.78
PL028261,2,0,27,Yearly,No,WorkPrivate,M,48,29,No,8,Diesel,Tourism,151,13594,900,720,738.6,88.44
PL006050,3,0,4,Monthly,No,WorkPrivate,F,66,44,Yes,5,Gasoline,Tourism,158,11228,992,260,75.3,311.47
PL075243,2,0,2,Yearly,No,WorkPrivate,M,70,51,No,3,Diesel,Tourism,200,19422,1315,790,59.7,136.76
PL040988,3,0.225,9,Monthly,No,WorkPrivate,F,54,31,No,5,Diesel,Tourism,177,11490,950,380,102.3,78.95
PL061561,1,0.07,12,Monthly,No,WorkPrivate,F,34,16,Yes,4,Diesel,Tourism,180,22057,1245,540,61.3,148.83
PL084598,2,0.036,2,Yearly,No,Professional,M,54,34,No,4,Diesel,Tourism,202,22411,1330,2550,44.1,183.16
PL085864,2,0.119,4,Yearly,No,WorkPrivate,M,46,27,Yes,3,Gasoline,Tourism,200,18081,966,320,322.8,325.71
PL023575,1,0,5,Monthly,No,Professional,M,63,44,No,5,Gasoline,Tourism,164,5110,828,290,58.2,93.81
PL044120,1,0,7,Yearly,No,WorkPrivate,M,45,22,No,1,Diesel,Tourism,186,62291,1960,550,25,198.66
PL078615,1,0,10,Monthly,No,WorkPrivate,F,43,21,No,2,Gasoline,Tourism,200,22067,1291,200,87.2,98.07
PL088003,2,0,7,Monthly,No,WorkPrivate,F,56,37,Yes,2,Diesel,Tourism,186,31915,1487,320,307.2,92.18
PL013424,2,0,9,Monthly,No,WorkPrivate,F,67,43,No,6,Gasoline,Tourism,158,13390,885,320,67.1,157.54
PL062510,3,0.135,17,Monthly,No,WorkPrivate,M,45,26,No,9,Gasoline,Tourism,164,14696,936,370,100.8,302.59
PL012056,1,0,3,Biannual,No,WorkPrivate,M,55,34,No,1,Diesel,Tourism,186,21852,1379,240,72.8,106.14
PL004982,2,0,10,Monthly,No,WorkPrivate,F,37,17,Yes,3,Diesel,Tourism,167,29286,1738,1230,84.1,81.45
PL083036,3,0,19,Monthly,No,WorkPrivate,M,57,38,Yes,15,Gasoline,Tourism,188,24003,1325,60,57.3,331.19
PL059088,2,0.381,17,Monthly,No,WorkPrivate,M,36,11,No,6,Gasoline,Tourism,180,22057,1245,2550,240.9,56.19
PL093465,2,0,17,Biannual,No,WorkPrivate,M,48,27,No,3,Diesel,Tourism,138,17126,1110,1870,66.4,92.55
PL001718,3,0,9,Biannual,No,WorkPrivate,M,49,31,Yes,6,Diesel,Tourism,198,20002,1320,380,505.6,282.05
PL064692,2,0,3,Yearly,No,Professional,F,34,15,No,5,Diesel,Commercial,150,14159,1193,1470,476.1,11.12
PL044937,3,0,23,Monthly,No,WorkPrivate,F,41,19,No,4,Gasoline,Tourism,150,15486,1047,290,37.2,56.19
PL062392,2,0,30,Biannual,No,WorkPrivate,M,60,42,No,6,Diesel,Tourism,174,13904,1260,1890,630.8,140.9
PL059116,1,0.119,3,Monthly,No,WorkPrivate,F,30,12,No,11,Gasoline,Tourism,182,12820,1036,150,95.8,116.45
PL082907,2,0.018,13,Monthly,No,WorkPrivate,M,56,17,No,4,Diesel,Tourism,161,3749,1103,260,48.9,82.22
PL069169,2,0,3,Monthly,No,WorkPrivate,M,56,34,No,15,Diesel,Tourism,203,19100,1480,240,73.7,89.61
PL051296,1,0.087,16,Yearly,No,Professional,M,47,27,No,5,Diesel,Tourism,215,37257,1778,500,139.1,130.11
PL020863,2,0,21,Yearly,No,WorkPrivate,M,51,32,No,7,Diesel,Tourism,150,16335,1280,100,121.3,285.81
